,REAL_LumpSum,REAL_Fixed_DCA,REAL_Smart_DCA,PROXY_LumpSum,PROXY_Fixed_DCA,PROXY_Smart_DCA
2025-03-07,-0.04391162101908841,-0.0436939493916485,-0.0436939493916485,-0.04836688430421754,-0.048667176996352035,-0.048667176996352035
2025-03-10,-0.06788553571307054,-0.0676110504575802,-0.0676110504575802,-0.07274726115037489,-0.07304603810359256,-0.07304603810359256
2025-03-11,-0.0724034267932131,-0.07213197515936687,-0.07213197515936687,-0.07771331310319107,-0.07803569025116885,-0.07803569025116885
2025-03-12,-0.06770061025195229,-0.067430244090117,-0.067430244090117,-0.07303554934462142,-0.07336884352570672,-0.07336884352570672
2025-03-13,-0.07837006306058458,-0.07807691862559174,-0.07807691862559174,-0.08420663729548894,-0.08456195697753754,-0.08456195697753754
2025-03-14,-0.060035798563426,-0.05978298227779544,-0.05978298227779544,-0.06562834669105211,-0.06599006278687036,-0.06599006278687036
2025-03-17,-0.05154786849313531,-0.051313588399351184,-0.051313588399351184,-0.05731741137237911,-0.057704215942905424,-0.057704215942905424
2025-03-18,-0.05913527908250871,-0.05887198930307602,-0.05887198930307602,-0.06544077450799679,-0.0658601254323039,-0.0658601254323039
2025-03-19,-0.05076077308595606,-0.05051673260700151,-0.05051673260700151,-0.05659954354636543,-0.05699470695601161,-0.05699470695601161
2025-03-20,-0.054365961587961475,-0.054116888183140865,-0.054116888183140865,-0.05990368723465678,-0.06027080311973143,-0.06027080311973143
2025-03-21,-0.055375006384284164,-0.055130550277763035,-0.055130550277763035,-0.06061964117895424,-0.06096105183176759,-0.06096105183176759
2025-03-24,-0.04262207902601056,-0.04242598062904146,-0.04242598062904146,-0.04690270628469817,-0.04718352394522207,-0.04718352394522207
2025-03-25,-0.040649841404262976,-0.04044228720398457,-0.04044228720398457,-0.04499076198502627,-0.04528267939521735,-0.04528267939521735
2025-03-26,-0.051073363386644255,-0.05085330704235225,-0.05085330704235225,-0.05559172228816023,-0.05587934810700301,-0.05587934810700301
2025-03-27,-0.05321647295211607,-0.05299593928912538,-0.05299593928912538,-0.05814236283967644,-0.058456545017980144,-0.058456545017980144
2025-03-28,-0.06968324150511229,-0.06940603813471546,-0.06940603813471546,-0.07507271928428472,-0.07540355365717821,-0.07540355365717821
2025-03-31,-0.06772357581903221,-0.06747626507225457,-0.06747626507225457,-0.07253455499196171,-0.07281813174783303,-0.07281813174783303
2025-04-01,-0.06466259903129823,-0.06442105746887883,-0.06442105746887883,-0.06946034129940781,-0.06974686467926294,-0.06974686467926294
2025-04-02,-0.058929413577962886,-0.05870224434361937,-0.05870224434361937,-0.06337912792199485,-0.0636468204953422,-0.0636468204953422
2025-04-03,-0.0971688571971413,-0.0968309157472439,-0.0968309157472439,-0.10351979464888439,-0.10388358016001231,-0.10388358016001231
2025-04-04,-0.14854497632836927,-0.14810851694986604,-0.14810851694986604,-0.1550677088397262,-0.15536891059543834,-0.15536891059543834
2025-04-07,-0.15656538407990794,-0.15609514505337208,-0.15609514505337208,-0.161903130028054,-0.1621080656681707,-0.1621080656681707
2025-04-08,-0.1675722437392394,-0.16705469327045985,-0.16705469327045985,-0.17334452654989774,-0.17357303525996515,-0.17357303525996515
2025-04-09,-0.09315215877720906,-0.09280760550892897,-0.09280760550892897,-0.097028101217156,-0.09721428791880082,-0.09721428791880082
2025-04-10,-0.1236062094514977,-0.12318475165200204,-0.12318475165200204,-0.12893744457183887,-0.12919343523711557,-0.12919343523711557
2025-04-11,-0.10711039998008964,-0.10671464256403551,-0.10671464256403551,-0.11287407134878669,-0.11318707178968279,-0.11318707178968279
2025-04-14,-0.09884476676327947,-0.09846083999590438,-0.09846083999590438,-0.10463963692420297,-0.10496772258906228,-0.10496772258906228
2025-04-15,-0.09882249336197324,-0.09841850804067098,-0.09841850804067098,-0.10493404858899957,-0.10529105170762743,-0.10529105170762743
2025-04-16,-0.1131695790976317,-0.11269717085942499,-0.11269717085942499,-0.12013307754421132,-0.12054305087569628,-0.12054305087569628
2025-04-17,-0.1095579980141107,-0.10907880336955733,-0.10907880336955733,-0.11689897889030842,-0.11734535176131478,-0.11734535176131478
2025-04-21,-0.1249527963165763,-0.12443221509733304,-0.12443221509733304,-0.1334417082462327,-0.1339550676746205,-0.1339550676746205
2025-04-22,-0.10525974564128349,-0.10477929745286796,-0.10477929745286796,-0.11332542167701098,-0.11383476070837495,-0.11383476070837495
2025-04-23,-0.09351858895390597,-0.09308868000407222,-0.09308868000407222,-0.10094191349027248,-0.10141228597441732,-0.10141228597441732
2025-04-24,-0.07719827385975908,-0.07681126076027844,-0.07681126076027844,-0.0841170670128224,-0.08457038385999971,-0.08457038385999971
2025-04-25,-0.07309672006647239,-0.0727112503368621,-0.0727112503368621,-0.07968965941092021,-0.08012535237830942,-0.08012535237830942
2025-04-28,-0.07080152074979362,-0.07040770913370065,-0.07040770913370065,-0.07759090315448636,-0.07804810381893723,-0.07804810381893723
2025-04-29,-0.06612173197721771,-0.06574170309136096,-0.06574170309136096,-0.07274299769786019,-0.07319283066252891,-0.07319283066252891
2025-04-30,-0.06582395878157032,-0.06545287913620745,-0.06545287913620745,-0.07240969931631847,-0.0728543093877061,-0.0728543093877061
2025-05-01,-0.0625009788873645,-0.0621543336987429,-0.0621543336987429,-0.06858137892279015,-0.0689881080066107,-0.0689881080066107
2025-05-02,-0.047168764901614924,-0.046867312400308614,-0.046867312400308614,-0.05347262359695237,-0.053913958972186204,-0.053913958972186204
2025-05-05,-0.050011758240428805,-0.049707474500459425,-0.049707474500459425,-0.05686575501524793,-0.05734328387069565,-0.05734328387069565
2025-05-06,-0.05579834761093683,-0.05546430209794284,-0.05546430209794284,-0.06301554621542926,-0.06351698839263697,-0.06351698839263697
2025-05-07,-0.054635148812551604,-0.0542945839495671,-0.0542945839495671,-0.06125716155352123,-0.06171745164705211,-0.06171745164705211
2025-05-08,-0.05015193903692716,-0.04983512821870073,-0.04983512821870073,-0.05617751683517336,-0.0565949686088284,-0.0565949686088284
