Date,BIL,GLD,IWM,QQQ,SGOV,SPY,TLT,VEA,VTI,VWO,XLE,XLF,XLK,XLV
2015-01-16,73.69434356689453,122.5199966430664,100.85968017578125,92.71548461914062,,166.9780731201172,97.28927612304688,27.05418586730957,86.24212646484375,29.24541473388672,24.16672706604004,15.458745002746582,17.694278717041016,58.504459381103516
2015-01-20,73.69434356689453,124.19999694824219,100.43619537353516,93.45118713378906,,167.33416748046875,98.58218383789062,27.17563247680664,86.36648559570312,29.144044876098633,24.195650100708008,15.392940521240234,17.843273162841797,58.504459381103516
2015-01-21,73.71051025390625,124.2300033569336,100.11641693115234,93.92938232421875,,168.17886352539062,97.44263458251953,27.375659942626953,86.75617218017578,29.795717239379883,24.6871395111084,15.432424545288086,17.87394142150879,58.62083435058594
2015-01-22,73.69434356689453,125.2300033569336,102.15608978271484,95.66741943359375,,170.6798553466797,97.09205627441406,27.475675582885742,88.0744400024414,30.425662994384766,24.802783966064453,15.814115524291992,18.167531967163086,59.3192024230957
2015-01-23,73.71051025390625,124.2300033569336,102.0869369506836,95.87895202636719,,169.74404907226562,98.443359375,27.311355590820312,87.67648315429688,30.164995193481445,24.626108169555664,15.643007278442383,18.163158416748047,58.97835922241211
2015-01-26,73.71051025390625,122.98999786376953,103.07218170166016,95.76860809326172,,170.14157104492188,98.14388275146484,27.67571258544922,88.04129028320312,30.201196670532227,24.979476928710938,15.721985816955566,18.088659286499023,59.28596496582031
2015-01-27,73.71051025390625,124.4000015258789,102.57957458496094,93.2856674194336,,167.89730834960938,98.29728698730469,27.697147369384766,87.01319885253906,30.04190444946289,24.963401794433594,15.550874710083008,17.567203521728516,58.8619499206543
2015-01-28,73.69434356689453,123.41999816894531,100.85103607177734,92.80743408203125,,165.74415588378906,99.90428924560547,27.33279800415039,85.83588409423828,29.687101364135742,23.980426788330078,15.267895698547363,17.536535263061523,58.01393508911133
2015-01-29,73.69434356689453,120.76000213623047,102.24247741699219,93.69944763183594,,167.2761993408203,99.24686431884766,27.70427894592285,86.65668487548828,29.716073989868164,24.06072998046875,15.392940521240234,17.703046798706055,58.504459381103516
2015-01-30,73.69434356689453,123.44999694824219,99.99542236328125,92.97298431396484,,165.17276000976562,101.00732421875,27.254209518432617,85.47935485839844,28.919584274291992,24.269533157348633,15.142857551574707,17.483951568603516,57.58992385864258
2015-02-02,73.69434356689453,122.41999816894531,100.91151428222656,93.7822494506836,,167.2181854248047,100.62599182128906,27.611417770385742,86.441162109375,29.433679580688477,25.011600494384766,15.386357307434082,17.663606643676758,57.9141731262207
2015-02-03,73.71051025390625,121.05000305175781,102.71783447265625,94.68346405029297,,169.63641357421875,98.49601745605469,28.00432014465332,87.76766204833984,29.955013275146484,25.695829391479492,15.643007278442383,17.865182876586914,58.304893493652344
2015-02-04,73.69434356689453,121.58000183105469,102.33756256103516,94.6006851196289,,168.99044799804688,98.66433715820312,27.804290771484375,87.46089935302734,29.752275466918945,25.27178955078125,15.603529930114746,17.90023422241211,57.57331466674805
2015-02-05,73.69434356689453,121.79000091552734,103.65988159179688,95.41913604736328,,170.69642639160156,97.58114624023438,28.09720802307129,88.42265319824219,29.976734161376953,25.63479232788086,15.761468887329102,18.066749572753906,58.54600143432617
