,REAL_LumpSum_SGOV_2020,REAL_40_6_DCA_SGOV_2020,PROXY_LumpSum_BIL_2015,PROXY_40_6_DCA_BIL_2015
2020-03-23,,,53718.65145467892,52671.32230351691
2020-03-24,,,58323.17049335686,57183.91512412632
2020-03-25,,,59389.520283910206,58221.85245766687
2020-03-26,,,62521.6795730508,61294.7123078423
2020-03-27,,,60528.00029023479,59343.75988835207
2020-03-30,,,62092.2460692589,60879.23220420148
2020-03-31,,,61447.47900669844,60243.836033137544
2020-04-01,,,58826.82361951455,57676.04306172863
2020-04-02,,,60010.084949060445,58834.577730409146
2020-04-03,,,59002.37968904436,57848.4720785087
2020-04-06,,,62651.29026685839,61427.21987656121
2020-04-07,,,62788.69491259935,61560.322724621896
2020-04-08,,,64497.32858808762,63241.80906224294
2020-04-09,,,65569.63490183558,64293.17428655765
2020-04-13,,,64947.6806355681,63681.703682033076
2020-04-14,,,66639.14123549346,65342.41635034357
2020-04-15,,,65057.690463221035,63795.41862684692
2020-04-16,,,65316.120010029656,64049.33995522324
2020-04-17,,,67014.02496638616,65713.67715474604
2020-04-20,,,66042.45400258269,64760.72146932911
2020-04-21,,,64219.19436364698,62971.769046862544
2020-04-22,,,65573.37601059618,64298.956616285126
2020-04-23,,,65541.43633520875,64268.48618653768
2020-04-24,,,66343.62750034401,65056.67910017791
2020-04-27,,,67427.36171754646,66119.21461679866
2020-04-28,,,67376.74347912737,66066.34484994509
2020-04-29,,,69169.13489348821,67822.71788966448
2020-04-30,,,68211.89528804866,66887.17641548354
2020-05-01,,,66443.4853777169,65153.867185402516
2020-05-04,,,66697.35141581735,65402.56614233541
2020-05-05,,,67189.7518951556,65887.01022308067
2020-05-06,,,66847.88886602456,65551.98420860035
2020-05-07,,,67670.21854917782,66357.5956902045
2020-05-08,,,68872.38345541124,67535.66259677653
2020-05-11,,,68850.10303475636,67514.39103692431
2020-05-12,,,67635.88086950232,66321.23389769728
2020-05-13,,,66557.63387159455,65260.55350400941
2020-05-14,,,67001.56181522162,65700.62201355725
2020-05-15,,,67225.92168791743,65923.41947959506
2020-05-18,,,69447.3006029047,68097.55587468826
2020-05-19,,,68744.5314620903,67409.07249565871
2020-05-20,,,69921.9549558625,68563.1382185581
2020-05-21,,,69442.27052782237,68094.89593903576
2020-05-22,,,69449.41138338581,68105.25831209571
2020-05-26,,,70592.8384384611,69220.69671536848
2020-05-27,,,71517.94733055799,70129.67365984982
2020-05-28,,,71383.2463264341,69995.24822248096
2020-05-29,,,71631.43680424838,70238.41445284398
2020-06-01,50000.0,50000.0,72357.07684768,70943.80848508292
2020-06-02,50467.60434496663,50187.04173798665,73007.80125146035,71578.88831301015
