Date,Core_REAL_SGOV_2020,Core_PROXY_BIL_2015,SPY_BuyHold_2015,VTI_BuyHold_2015
2024-10-04,88668.63220195654,131173.38244910707,165434.99414448123,158040.57650095053
2024-10-07,88076.1027269371,130220.0619687335,163939.38603022197,156598.507472282
2024-10-08,88359.17029842993,130795.83911856596,165489.84955213827,157917.5747580059
2024-10-09,88752.61684868156,131453.35162638334,166636.12666289424,159018.71749788843
2024-10-10,88610.94607719647,131227.47965963144,166344.50326123292,158688.96370814374
2024-10-11,89226.74764618027,132164.44792745812,167340.61862656806,159918.58149921036
2024-10-14,89718.60707742715,132962.5347337068,168709.18750046528,161165.03622895663
2024-10-15,88918.99671683482,131835.12669259423,167398.36210506642,160058.35067850776
2024-10-16,89367.49170222362,132500.87780705196,168125.94069714265,160874.37749806565
2024-10-17,89325.98407983218,132448.3027320851,168140.38105134928,160840.89475210517
2024-10-18,89749.61564947624,133052.11522778185,168787.14747485294,161472.47977178215
2024-10-21,89323.51588249394,132462.74205273073,168509.94648907005,160963.86174388634
2024-10-22,89164.85777721251,132243.32820832467,168420.4521696453,160779.38519284202
2024-10-23,88399.66240065912,131090.5590711168,166881.5050544379,159326.1262895505
2024-10-24,88614.73369662376,131418.0827653766,167242.4421562911,159750.94188684569
2024-10-25,88502.95804088697,131259.90179108482,167184.69867779274,159600.0175840887
2024-10-28,88891.60226009093,131830.33397406962,167701.51985176484,160248.38741570018
2024-10-29,88899.19556292136,131877.17266578737,167972.92675753686,160460.7517753935
2024-10-30,88617.42380009119,131479.0182005795,167464.75185776057,160063.94561581928
2024-10-31,87314.81761700784,129425.89448592329,164181.9122275807,157079.22031594714
2024-11-01,87616.28379231851,129897.13246402888,164874.88778454563,157749.93514564124
2024-11-04,87546.81469389789,129765.0142020035,164519.74476270328,157464.87135206177
2024-11-05,88597.95626301112,131345.40270580203,166509.06948420402,159465.8607176845
2024-11-06,90104.42100550431,133896.79147014895,170649.43295599165,163926.24204567587
2024-11-07,90935.70991065478,135067.76305637092,171968.9046255863,165072.0574061419
2024-11-08,90867.1722467355,135129.67435800162,172713.8116427105,165843.39422953455
2024-11-11,91004.40166048211,135374.40997035676,172878.39580400978,166307.30488568344
2024-11-12,90385.31839755959,134535.91068278067,172341.3760724766,165653.35749234213
2024-11-13,90236.67612096205,134347.99463844576,172425.0763118905,165575.1152478896
2024-11-14,89722.20048611941,133532.32757847878,171316.3799987282,164351.04026738935
2024-11-15,88843.54242768187,132134.8281820006,169122.0560624778,162266.17896883914
2024-11-18,89259.32632244383,132736.76511077795,169815.01368111448,162925.72129949194
2024-11-19,89548.84702871511,133207.6683193136,170435.76952871797,163674.6957492203
2024-11-20,89544.17953527362,133217.78607567245,170493.51300721633,163769.72280560737
2024-11-21,90009.58108601475,133967.36317977452,171408.76238899428,164915.55554165508
2024-11-22,90400.33935030985,134570.10397062998,171940.04185550121,165731.59973679468
2024-11-25,90795.64213121252,135177.24004931955,172523.28865882388,166542.0837457862
2024-11-26,90912.93182659967,135421.48388302533,173424.09768639517,167151.32376738056
2024-11-27,90827.81342070784,135238.50864770747,172898.61229989908,166676.20586102695
2024-11-29,91405.51237879488,136079.71184601553,173972.66970129366,167604.06192448814
2024-12-02,91581.30498431947,136340.32462477108,174284.47372218786,167922.66059077324
2024-12-03,91672.12890564052,136446.70201938332,174365.33970574505,167922.66059077324
2024-12-04,92133.21122040333,137184.8123827523,175448.06131966363,169051.72589046814
2024-12-05,92060.43027097058,137015.58441436227,175159.32598884363,168582.18554584435
2024-12-06,92230.25237782342,137296.22444043943,175491.40032061175,169051.72589046814
2024-12-09,91936.11705192018,136751.0091794405,174587.66734554272,167972.96289983168
2024-12-10,91446.12945626379,136071.15951130993,174044.85353399866,167341.36050457298
2024-12-11,92098.00702742694,137073.98439536436,175390.33577949347,168688.3851012727
2024-12-12,91530.86851824139,136240.09060178517,174486.62074275265,167726.9941651059
2024-12-13,91463.8235954085,136145.0115049321,174451.9459543285,167643.17435892357
2024-12-16,91636.2128650015,136467.92005030098,175196.8709097809,168325.07906324067
2024-12-17,91254.55686987999,135874.71743290217,174475.0505210591,167492.26743174827
2024-12-18,88680.20755642818,131947.1595782958,169275.10587873997,162310.90371616778
2024-12-19,88582.86532885327,131790.0787975855,169223.13854192427,162081.70241779482
2024-12-20,89346.2354638594,133007.76536570047,171255.65875774747,163926.24204567587
2024-12-23,89828.81483062869,133736.40498600373,172281.1929813421,164857.60797664305
2024-12-24,90607.07619399403,134955.48254525612,174196.07364078372,166607.12054813703
2024-12-26,90685.52220900627,135066.6958740608,174207.67973913366,166702.46036499494
2024-12-27,89911.17545198454,133842.5186782625,172373.8623848595,164896.87679131387
2024-12-30,89039.97841040301,132502.51920116605,170406.81706699188,163074.47365453484
2024-12-31,88809.08503413571,132132.5267589344,169786.88638248589,162508.11656860757
2025-01-02,88639.29249414997,131879.73035073472,169369.6767450473,162199.71736878785
2025-01-03,89601.67653459996,133381.48541310604,171487.3860815256,164330.51970538657
2025-01-06,90105.56763851506,134137.13850429762,172475.28569254192,165250.1223675342
2025-01-07,89285.03126568653,132852.39028898202,170525.60467637866,163405.30473034573
2025-01-08,89284.92401425319,132881.05453397668,170774.7321785176,163556.69817380898
2025-01-10,87981.51425025053,130923.4179287944,168167.44998861366,161100.65969871086
2025-01-13,88000.18397469918,130993.29037182417,168428.18358910253,161364.19514654824
2025-01-14,88276.69662756418,131378.350202542,168659.91091288064,161728.68272413674
2025-01-15,89697.4765547042,133564.92909322347,171727.83143281232,164694.98990739335
2025-01-16,89693.69323169654,133539.9179384678,171397.58681052132,164571.62327723278
2025-01-17,90424.0793181088,134661.4758235189,173118.41063541954,166091.25690266702
2025-01-21,91422.27040094048,136122.9549339979,174703.028734242,167739.83471999163
2025-01-22,91707.9007898821,136601.46043191818,175685.13426524744,168558.48525238814
2025-01-23,92187.16860889067,137319.1623784145,176644.04553788123,169444.46616392158
2025-01-24,92113.5750880604,137145.93388572347,176128.37241691438,168950.9996432793
2025-01-27,91044.30967669915,135484.67046163633,173636.97182722774,166595.9132979323
2025-01-28,91634.5220549884,136424.28038640777,175128.92052253275,168025.78466823846
2025-01-29,91354.916320045,135970.39410743563,174343.83165022486,167308.03413884793
2025-01-30,92036.78355826988,136950.74164335092,175279.548664487,168356.63311963103
2025-01-31,91465.01103988416,136120.10053878173,174346.70178273798,167437.03045748343
2025-02-03,90755.74107262825,135072.47789009166,173173.44542635864,166214.60615724587
2025-02-04,91522.37929956034,136179.50027502363,174335.13156104446,167420.19351880375
2025-02-05,91942.59554970765,136813.2066403907,175042.0093223698,168194.01505038136
2025-02-06,92202.7138671766,137190.42099996877,175650.36978518227,168608.9613172637
2025-02-07,91489.29456518962,136085.89020325994,174042.55742798815,167100.5870687793
2025-02-10,92078.82236299264,136962.7217182008,175224.5138735479,168171.5831743902
2025-02-11,92074.47432177559,136945.1289882522,175357.79565212596,168081.87304600724
